c_custkey|c_name|c_address|c_nationkey|c_phone|c_acctbal|c_mktsegment|c_comment|o_orderkey|o_custkey|o_orderstatus|o_totalprice|o_orderdate|o_orderpriority|o_clerk|o_shippriority|o_comment|l_orderkey|l_partkey|l_suppkey|l_linenumber|l_quantity|l_extendedprice|l_discount|l_tax|l_returnflag|l_linestatus|l_shipdate|l_commitdate|l_receiptdate|l_shipinstruct|l_shipmode|l_comment
4825|Customer#000004825|1G3yzepkN4LJB9VYKXpLToiwJfR1Yw|3|13-905-423-5482|-376.29|BUILDING|ach furiously along the furiously even foxes|175494|4825|F|118865.35|1995-03-05|1-URGENT|Clerk#000000981|0|ounts wake according to the blithely careful deposits. slyly regu|175494|12671|196|3|38.00|60179.46|0.06|0.04|A|F|1995-05-11|1995-05-05|1995-06-04|DELIVER IN PERSON|REG AIR|furiously regular accounts. fur
4825|Customer#000004825|1G3yzepkN4LJB9VYKXpLToiwJfR1Yw|3|13-905-423-5482|-376.29|BUILDING|ach furiously along the furiously even foxes|431526|4825|F|76415.94|1995-03-17|2-HIGH|Clerk#000000485|0|regular deposits boost. carefully bold accounts sleep quickly carefully eve|431526|8637|638|1|48.00|74190.24|0.00|0.03|A|F|1995-03-30|1995-05-13|1995-04-21|NONE|AIR|ctions cajole final packages. qu
4825|Customer#000004825|1G3yzepkN4LJB9VYKXpLToiwJfR1Yw|3|13-905-423-5482|-376.29|BUILDING|ach furiously along the furiously even foxes|552578|4825|P|153877.34|1995-03-15|1-URGENT|Clerk#000000542|0|equests. blithely ironic dependencies hang. deposits until the ironi|552578|10289|550|1|38.00|45572.64|0.05|0.06|N|O|1995-07-10|1995-04-18|1995-07-16|NONE|SHIP|inments integrate slyly
4825|Customer#000004825|1G3yzepkN4LJB9VYKXpLToiwJfR1Yw|3|13-905-423-5482|-376.29|BUILDING|ach furiously along the furiously even foxes|552578|4825|P|153877.34|1995-03-15|1-URGENT|Clerk#000000542|0|equests. blithely ironic dependencies hang. deposits until the ironi|552578|15341|607|2|12.00|15076.08|0.04|0.01|N|F|1995-06-11|1995-04-20|1995-07-05|TAKE BACK RETURN|TRUCK|ic deposits. dependencies are. furio
4825|Customer#000004825|1G3yzepkN4LJB9VYKXpLToiwJfR1Yw|3|13-905-423-5482|-376.29|BUILDING|ach furiously along the furiously even foxes|552578|4825|P|153877.34|1995-03-15|1-URGENT|Clerk#000000542|0|equests. blithely ironic dependencies hang. deposits until the ironi|552578|19983|253|3|25.00|47574.50|0.01|0.06|N|F|1995-06-02|1995-05-05|1995-06-29|NONE|TRUCK|efully regular deposits. even, regular
4825|Customer#000004825|1G3yzepkN4LJB9VYKXpLToiwJfR1Yw|3|13-905-423-5482|-376.29|BUILDING|ach furiously along the furiously even foxes|552578|4825|P|153877.34|1995-03-15|1-URGENT|Clerk#000000542|0|equests. blithely ironic dependencies hang. deposits until the ironi|552578|7415|673|4|1.00|1322.41|0.03|0.08|A|F|1995-06-05|1995-06-09|1995-06-07|TAKE BACK RETURN|AIR|ronic theodolites boost quickly. regular
4825|Customer#000004825|1G3yzepkN4LJB9VYKXpLToiwJfR1Yw|3|13-905-423-5482|-376.29|BUILDING|ach furiously along the furiously even foxes|552578|4825|P|153877.34|1995-03-15|1-URGENT|Clerk#000000542|0|equests. blithely ironic dependencies hang. deposits until the ironi|552578|17667|469|5|12.00|19015.92|0.00|0.05|R|F|1995-04-24|1995-05-10|1995-05-05|COLLECT COD|MAIL|unts. regular requests haggle after the p
4825|Customer#000004825|1G3yzepkN4LJB9VYKXpLToiwJfR1Yw|3|13-905-423-5482|-376.29|BUILDING|ach furiously along the furiously even foxes|552578|4825|P|153877.34|1995-03-15|1-URGENT|Clerk#000000542|0|equests. blithely ironic dependencies hang. deposits until the ironi|552578|7497|755|6|15.00|21067.35|0.02|0.07|N|O|1995-07-13|1995-04-30|1995-08-08|TAKE BACK RETURN|SHIP|egular foxes detect amon
4861|Customer#000004861|3CYtM1CouOWt|20|30-872-324-4660|-704.74|BUILDING|deposits! quickly regular accounts are final requests. slyly regular packages above the bli|435521|4861|F|211861.00|1994-12-27|2-HIGH|Clerk#000000863|0|the blithely fluffy packages. requ|435521|5165|931|5|33.00|35315.28|0.00|0.03|A|F|1995-04-02|1995-03-13|1995-04-19|DELIVER IN PERSON|TRUCK|ole carefully regular packages. b
4879|Customer#000004879|BNHMEhDnEV5VcX5X,Ax4zGS1i1mb5EBM1BeOc5|15|25-221-325-6661|7430.74|BUILDING|requests. regular packages haggle after the silent escapades. furiously unusual deposits alon|146086|4879|F|138971.35|1995-01-16|2-HIGH|Clerk#000000258|0|nts affix furiously silent packages. ironic de|146086|11130|131|2|9.00|9370.17|0.10|0.05|R|F|1995-04-13|1995-03-16|1995-05-09|DELIVER IN PERSON|FOB|uriously. carefully i
4879|Customer#000004879|BNHMEhDnEV5VcX5X,Ax4zGS1i1mb5EBM1BeOc5|15|25-221-325-6661|7430.74|BUILDING|requests. regular packages haggle after the silent escapades. furiously unusual deposits alon|146086|4879|F|138971.35|1995-01-16|2-HIGH|Clerk#000000258|0|nts affix furiously silent packages. ironic de|146086|8958|733|3|21.00|39205.95|0.06|0.06|R|F|1995-04-21|1995-04-10|1995-05-11|NONE|TRUCK|s. fluffily stealthy request
4879|Customer#000004879|BNHMEhDnEV5VcX5X,Ax4zGS1i1mb5EBM1BeOc5|15|25-221-325-6661|7430.74|BUILDING|requests. regular packages haggle after the silent escapades. furiously unusual deposits alon|146086|4879|F|138971.35|1995-01-16|2-HIGH|Clerk#000000258|0|nts affix furiously silent packages. ironic de|146086|15393|924|4|40.00|52335.60|0.04|0.03|R|F|1995-04-20|1995-03-09|1995-05-20|COLLECT COD|TRUCK|y furiously express foxes. id
4903|Customer#000004903|AeXR14nm23ou0ZtxCAJ6kiDo|0|10-156-627-9874|1782.74|BUILDING|e blithely. blithely ironic accounts cajole bold, regular packages. furiously i|258851|4903|F|31965.13|1995-03-23|2-HIGH|Clerk#000000849|0|ic accounts poach slyly expr|258851|1811|565|1|18.00|30830.58|0.04|0.08|A|F|1995-04-24|1995-05-21|1995-05-19|DELIVER IN PERSON|TRUCK|lyly unusu
4903|Customer#000004903|AeXR14nm23ou0ZtxCAJ6kiDo|0|10-156-627-9874|1782.74|BUILDING|e blithely. blithely ironic accounts cajole bold, regular packages. furiously i|528675|4903|F|143330.84|1995-01-19|1-URGENT|Clerk#000000177|0|packages. instructions nag furiously carefully|528675|5517|518|2|24.00|34140.24|0.03|0.07|A|F|1995-04-10|1995-04-07|1995-04-12|DELIVER IN PERSON|TRUCK|ng to the sen
4903|Customer#000004903|AeXR14nm23ou0ZtxCAJ6kiDo|0|10-156-627-9874|1782.74|BUILDING|e blithely. blithely ironic accounts cajole bold, regular packages. furiously i|528675|4903|F|143330.84|1995-01-19|1-URGENT|Clerk#000000177|0|packages. instructions nag furiously carefully|528675|9048|567|3|35.00|33496.40|0.07|0.02|R|F|1995-05-08|1995-03-13|1995-06-06|DELIVER IN PERSON|SHIP|eposits may haggle according t
4903|Customer#000004903|AeXR14nm23ou0ZtxCAJ6kiDo|0|10-156-627-9874|1782.74|BUILDING|e blithely. blithely ironic accounts cajole bold, regular packages. furiously i|528675|4903|F|143330.84|1995-01-19|1-URGENT|Clerk#000000177|0|packages. instructions nag furiously carefully|528675|35|36|4|13.00|12155.39|0.10|0.05|R|F|1995-04-30|1995-02-24|1995-05-07|COLLECT COD|REG AIR|as sleep furiously regular ideas. care
4903|Customer#000004903|AeXR14nm23ou0ZtxCAJ6kiDo|0|10-156-627-9874|1782.74|BUILDING|e blithely. blithely ironic accounts cajole bold, regular packages. furiously i|528675|4903|F|143330.84|1995-01-19|1-URGENT|Clerk#000000177|0|packages. instructions nag furiously carefully|528675|18504|505|6|33.00|46942.50|0.03|0.03|R|F|1995-05-09|1995-04-02|1995-05-27|NONE|SHIP|nstructions. careful
4945|Customer#000004945|SUTncjIuwlq18w4NoC|9|19-528-615-8863|8863.39|BUILDING|al packages. unusual accounts haggle blithely even packages. requests|392834|4945|P|276173.48|1995-03-14|4-NOT SPECIFIED|Clerk#000000046|0|tes. furiously final accounts impress dogg|392834|15740|6|1|47.00|77819.78|0.08|0.04|A|F|1995-05-19|1995-04-13|1995-05-25|NONE|FOB|iously ironic foxes. furiously final 
4945|Customer#000004945|SUTncjIuwlq18w4NoC|9|19-528-615-8863|8863.39|BUILDING|al packages. unusual accounts haggle blithely even packages. requests|392834|4945|P|276173.48|1995-03-14|4-NOT SPECIFIED|Clerk#000000046|0|tes. furiously final accounts impress dogg|392834|5788|299|2|47.00|79607.66|0.03|0.03|R|F|1995-04-28|1995-05-20|1995-05-19|TAKE BACK RETURN|AIR|onic dolphins are idly. express de
4945|Customer#000004945|SUTncjIuwlq18w4NoC|9|19-528-615-8863|8863.39|BUILDING|al packages. unusual accounts haggle blithely even packages. requests|392834|4945|P|276173.48|1995-03-14|4-NOT SPECIFIED|Clerk#000000046|0|tes. furiously final accounts impress dogg|392834|4974|483|3|19.00|35700.43|0.09|0.06|N|O|1995-07-10|1995-05-08|1995-07-21|DELIVER IN PERSON|AIR|ily even packages. foxes sleep among the fu
4945|Customer#000004945|SUTncjIuwlq18w4NoC|9|19-528-615-8863|8863.39|BUILDING|al packages. unusual accounts haggle blithely even packages. requests|392834|4945|P|276173.48|1995-03-14|4-NOT SPECIFIED|Clerk#000000046|0|tes. furiously final accounts impress dogg|392834|5481|482|4|3.00|4159.44|0.07|0.02|A|F|1995-05-18|1995-04-16|1995-05-29|NONE|RAIL|detect. ironic somas cajole fl
4945|Customer#000004945|SUTncjIuwlq18w4NoC|9|19-528-615-8863|8863.39|BUILDING|al packages. unusual accounts haggle blithely even packages. requests|392834|4945|P|276173.48|1995-03-14|4-NOT SPECIFIED|Clerk#000000046|0|tes. furiously final accounts impress dogg|392834|4966|729|5|18.00|33677.28|0.04|0.00|A|F|1995-06-07|1995-04-30|1995-06-11|DELIVER IN PERSON|SHIP|usly regular dependencies 
4957|Customer#000004957|VBCwsfYm1VAuDOVBTOadTqh,hK9CSZ1gGaZSNVzA|11|21-572-616-3196|7110.02|BUILDING|ses thrash bold deposits. quickly ironic deposits wake. dependencies cajole fina|107457|4957|P|283566.08|1995-03-17|4-NOT SPECIFIED|Clerk#000000482|0|ar, ironic accounts boost furi|107457|17269|270|1|50.00|59313.00|0.02|0.04|N|O|1995-06-30|1995-06-10|1995-07-08|DELIVER IN PERSON|RAIL|y. regular, un
4957|Customer#000004957|VBCwsfYm1VAuDOVBTOadTqh,hK9CSZ1gGaZSNVzA|11|21-572-616-3196|7110.02|BUILDING|ses thrash bold deposits. quickly ironic deposits wake. dependencies cajole fina|107457|4957|P|283566.08|1995-03-17|4-NOT SPECIFIED|Clerk#000000482|0|ar, ironic accounts boost furi|107457|13982|509|2|45.00|85319.10|0.09|0.02|N|F|1995-06-13|1995-04-16|1995-07-04|DELIVER IN PERSON|RAIL|earls. idle, 
4957|Customer#000004957|VBCwsfYm1VAuDOVBTOadTqh,hK9CSZ1gGaZSNVzA|11|21-572-616-3196|7110.02|BUILDING|ses thrash bold deposits. quickly ironic deposits wake. dependencies cajole fina|107457|4957|P|283566.08|1995-03-17|4-NOT SPECIFIED|Clerk#000000482|0|ar, ironic accounts boost furi|107457|10747|528|3|35.00|58020.90|0.08|0.03|N|F|1995-05-25|1995-04-27|1995-06-20|NONE|RAIL|e of the regular 
4957|Customer#000004957|VBCwsfYm1VAuDOVBTOadTqh,hK9CSZ1gGaZSNVzA|11|21-572-616-3196|7110.02|BUILDING|ses thrash bold deposits. quickly ironic deposits wake. dependencies cajole fina|107457|4957|P|283566.08|1995-03-17|4-NOT SPECIFIED|Clerk#000000482|0|ar, ironic accounts boost furi|107457|15808|74|4|48.00|82742.40|0.07|0.03|A|F|1995-06-02|1995-04-27|1995-06-08|NONE|SHIP|accounts above the pending foxes cajole a
4957|Customer#000004957|VBCwsfYm1VAuDOVBTOadTqh,hK9CSZ1gGaZSNVzA|11|21-572-616-3196|7110.02|BUILDING|ses thrash bold deposits. quickly ironic deposits wake. dependencies cajole fina|107457|4957|P|283566.08|1995-03-17|4-NOT SPECIFIED|Clerk#000000482|0|ar, ironic accounts boost furi|107457|15513|514|5|7.00|9999.57|0.06|0.03|R|F|1995-04-07|1995-05-27|1995-04-17|NONE|REG AIR|tions cajo
5002|Customer#000005002|P6nTWXQWWdSTfwRKsqHevlJlMPxbW,zusge,fmB|19|29-322-762-4068|3802.30|BUILDING|ckly. slyly final theodolites wake slyly. ironic, bold accounts sleep|34433|5002|F|71197.60|1995-01-20|4-NOT SPECIFIED|Clerk#000000430|0|f the fluffy deposits. furiously ironic requests x-ra|34433|2342|847|1|26.00|32352.84|0.08|0.06|A|F|1995-04-07|1995-02-24|1995-05-03|COLLECT COD|RAIL|xes are slyly alongside of the fluff
5002|Customer#000005002|P6nTWXQWWdSTfwRKsqHevlJlMPxbW,zusge,fmB|19|29-322-762-4068|3802.30|BUILDING|ckly. slyly final theodolites wake slyly. ironic, bold accounts sleep|34433|5002|F|71197.60|1995-01-20|4-NOT SPECIFIED|Clerk#000000430|0|f the fluffy deposits. furiously ironic requests x-ra|34433|7052|824|2|39.00|37402.95|0.00|0.06|R|F|1995-04-24|1995-03-31|1995-05-13|COLLECT COD|RAIL| fluffily 
5002|Customer#000005002|P6nTWXQWWdSTfwRKsqHevlJlMPxbW,zusge,fmB|19|29-322-762-4068|3802.30|BUILDING|ckly. slyly final theodolites wake slyly. ironic, bold accounts sleep|144773|5002|F|127131.29|1995-02-22|1-URGENT|Clerk#000000225|0|ly requests. furiously regular warhorses haggle blithely special frets. blit|144773|16646|647|3|17.00|26564.88|0.03|0.08|N|F|1995-06-15|1995-05-01|1995-07-04|NONE|RAIL|he blithely ironic deposits sl
5003|Customer#000005003|oIIt7E5AecNCFI8L6Mjg|24|34-731-816-1968|4181.07|BUILDING| the furiously even requests. slyly express instructions against the slyly close requests grow furiou|88519|5003|F|224484.65|1994-12-11|4-NOT SPECIFIED|Clerk#000000304|0|g accounts. bold, final accounts haggle. p|88519|7697|698|1|25.00|40117.25|0.05|0.01|R|F|1995-03-30|1995-02-23|1995-04-10|TAKE BACK RETURN|RAIL|deposits. blithely busy instructio
5027|Customer#000005027|U7HIvw7bunn|21|31-203-192-9945|2796.09|BUILDING|ular foxes. blithely even foxes haggle quickly above the slyly regular deposits; accou|526854|5027|F|60261.10|1995-03-08|1-URGENT|Clerk#000000606|0|arefully quick accounts. sh|526854|7680|452|1|29.00|46042.72|0.01|0.03|R|F|1995-04-30|1995-06-03|1995-05-04|COLLECT COD|RAIL|e quickly in p
5035|Customer#000005035|nmoMjinmMcTeVCO|13|23-762-506-5871|2543.87|BUILDING|al gifts. final deposits sleep. carefull|147618|5035|F|36569.82|1995-02-11|3-MEDIUM|Clerk#000000229|0| closely bold requests. enticing dolphins mold fluffily.|147618|12336|599|1|30.00|37449.90|0.07|0.05|A|F|1995-04-23|1995-04-30|1995-05-18|COLLECT COD|REG AIR|ickly. furiously regular dependencies a
5056|Customer#000005056|QZVLmqT5h9g0svCuS4OL6823Qc9rzKAc9I,E44aD|15|25-505-902-2449|-57.40|BUILDING|l requests cajole quickly furiously ironic packages. packages among the f|12326|5056|F|180589.94|1995-02-03|1-URGENT|Clerk#000000765|0|ccounts are fluffily carefu|12326|4270|779|1|12.00|14091.24|0.06|0.03|R|F|1995-04-17|1995-04-12|1995-05-02|TAKE BACK RETURN|MAIL|ironic, final accounts above the furious
5056|Customer#000005056|QZVLmqT5h9g0svCuS4OL6823Qc9rzKAc9I,E44aD|15|25-505-902-2449|-57.40|BUILDING|l requests cajole quickly furiously ironic packages. packages among the f|12326|5056|F|180589.94|1995-02-03|1-URGENT|Clerk#000000765|0|ccounts are fluffily carefu|12326|7752|267|3|43.00|71369.25|0.02|0.00|A|F|1995-05-07|1995-04-09|1995-05-10|DELIVER IN PERSON|TRUCK|eep slyly pending req
5056|Customer#000005056|QZVLmqT5h9g0svCuS4OL6823Qc9rzKAc9I,E44aD|15|25-505-902-2449|-57.40|BUILDING|l requests cajole quickly furiously ironic packages. packages among the f|12326|5056|F|180589.94|1995-02-03|1-URGENT|Clerk#000000765|0|ccounts are fluffily carefu|12326|19776|777|4|30.00|50873.10|0.09|0.04|R|F|1995-05-02|1995-03-19|1995-05-08|COLLECT COD|SHIP| bold asymptotes detect regular
5057|Customer#000005057|h8XNMW7scTE3yIaFmDaWHAlG tapNL|1|11-648-437-9352|1167.32|BUILDING|ccounts about the blithely final requests boost slyly unusual inst|24035|5057|P|129464.47|1995-03-25|4-NOT SPECIFIED|Clerk#000000705|0|haggle carefully furiously regular accounts. blithely express deposits cajole |24035|17042|844|1|18.00|17262.72|0.04|0.02|R|F|1995-04-07|1995-05-01|1995-04-15|COLLECT COD|RAIL|iously after the even, final a
5057|Customer#000005057|h8XNMW7scTE3yIaFmDaWHAlG tapNL|1|11-648-437-9352|1167.32|BUILDING|ccounts about the blithely final requests boost slyly unusual inst|24035|5057|P|129464.47|1995-03-25|4-NOT SPECIFIED|Clerk#000000705|0|haggle carefully furiously regular accounts. blithely express deposits cajole |24035|8999|516|2|21.00|40067.79|0.04|0.00|R|F|1995-05-19|1995-04-30|1995-06-08|TAKE BACK RETURN|MAIL|lly against the furiously ironic packag
5057|Customer#000005057|h8XNMW7scTE3yIaFmDaWHAlG tapNL|1|11-648-437-9352|1167.32|BUILDING|ccounts about the blithely final requests boost slyly unusual inst|24035|5057|P|129464.47|1995-03-25|4-NOT SPECIFIED|Clerk#000000705|0|haggle carefully furiously regular accounts. blithely express deposits cajole |24035|15979|980|3|8.00|15159.76|0.01|0.05|A|F|1995-04-17|1995-05-30|1995-04-28|DELIVER IN PERSON|MAIL|quickly special sauternes boost 
5057|Customer#000005057|h8XNMW7scTE3yIaFmDaWHAlG tapNL|1|11-648-437-9352|1167.32|BUILDING|ccounts about the blithely final requests boost slyly unusual inst|24035|5057|P|129464.47|1995-03-25|4-NOT SPECIFIED|Clerk#000000705|0|haggle carefully furiously regular accounts. blithely express deposits cajole |24035|5346|112|4|39.00|48802.26|0.07|0.00|N|F|1995-06-16|1995-06-04|1995-06-20|DELIVER IN PERSON|SHIP|uests. ironic instructions are q
5057|Customer#000005057|h8XNMW7scTE3yIaFmDaWHAlG tapNL|1|11-648-437-9352|1167.32|BUILDING|ccounts about the blithely final requests boost slyly unusual inst|24035|5057|P|129464.47|1995-03-25|4-NOT SPECIFIED|Clerk#000000705|0|haggle carefully furiously regular accounts. blithely express deposits cajole |24035|6462|463|5|10.00|13684.60|0.09|0.04|N|O|1995-07-11|1995-05-26|1995-07-16|TAKE BACK RETURN|AIR|sits upon the requests wake quick
5080|Customer#000005080|skdoxg6Mhsa7tPYDe29qIs|17|27-385-945-2751|4078.24|BUILDING|ly final deposits. quickly even|332356|5080|F|75752.65|1995-02-26|3-MEDIUM|Clerk#000000157|0| pending theodolites. blithely regular requests sleep boldl|332356|6664|433|1|22.00|34554.52|0.03|0.08|R|F|1995-03-29|1995-04-07|1995-04-16|DELIVER IN PERSON|AIR|ts boost care
5080|Customer#000005080|skdoxg6Mhsa7tPYDe29qIs|17|27-385-945-2751|4078.24|BUILDING|ly final deposits. quickly even|332356|5080|F|75752.65|1995-02-26|3-MEDIUM|Clerk#000000157|0| pending theodolites. blithely regular requests sleep boldl|332356|11716|500|2|25.00|40692.75|0.10|0.08|A|F|1995-04-21|1995-04-07|1995-04-24|DELIVER IN PERSON|REG AIR|oost furio
5080|Customer#000005080|skdoxg6Mhsa7tPYDe29qIs|17|27-385-945-2751|4078.24|BUILDING|ly final deposits. quickly even|333633|5080|F|99097.73|1995-01-28|2-HIGH|Clerk#000000443|0|usly pending requests. furiously final requests sleep blithely regular d|333633|8061|836|1|22.00|21319.32|0.04|0.04|R|F|1995-04-01|1995-04-22|1995-04-23|COLLECT COD|RAIL|s, pending ins
5086|Customer#000005086|LRNeYhJ5dToyTpQBO8ewFWxFwkiTP|23|33-832-885-7620|-460.48|BUILDING|ep furiously pending courts. deposits haggle furiousl|120004|5086|O|37995.87|1995-03-15|3-MEDIUM|Clerk#000000457|0|yly final accounts haggle about the fluffily regular excuses. final foxe|120004|11008|792|1|42.00|38598.00|0.08|0.07|N|O|1995-07-09|1995-05-29|1995-08-04|DELIVER IN PERSON|MAIL|ely ironic instructions. blithely special r
5086|Customer#000005086|LRNeYhJ5dToyTpQBO8ewFWxFwkiTP|23|33-832-885-7620|-460.48|BUILDING|ep furiously pending courts. deposits haggle furiousl|394722|5086|P|200693.44|1995-03-25|3-MEDIUM|Clerk#000000422|0|sits. bold deposits haggle quickly express theodolites. final excuses wak|394722|109|110|1|11.00|11100.10|0.09|0.04|N|O|1995-07-11|1995-05-21|1995-07-24|TAKE BACK RETURN|TRUCK|ke furiously express idea
5086|Customer#000005086|LRNeYhJ5dToyTpQBO8ewFWxFwkiTP|23|33-832-885-7620|-460.48|BUILDING|ep furiously pending courts. deposits haggle furiousl|394722|5086|P|200693.44|1995-03-25|3-MEDIUM|Clerk#000000422|0|sits. bold deposits haggle quickly express theodolites. final excuses wak|394722|7258|516|2|16.00|18644.00|0.05|0.03|R|F|1995-05-11|1995-05-13|1995-05-29|NONE|SHIP|sly even pinto beans
5086|Customer#000005086|LRNeYhJ5dToyTpQBO8ewFWxFwkiTP|23|33-832-885-7620|-460.48|BUILDING|ep furiously pending courts. deposits haggle furiousl|394722|5086|P|200693.44|1995-03-25|3-MEDIUM|Clerk#000000422|0|sits. bold deposits haggle quickly express theodolites. final excuses wak|394722|14057|58|3|38.00|36899.90|0.07|0.03|A|F|1995-05-13|1995-06-18|1995-05-20|DELIVER IN PERSON|FOB|riously ironic packages are carefull
5086|Customer#000005086|LRNeYhJ5dToyTpQBO8ewFWxFwkiTP|23|33-832-885-7620|-460.48|BUILDING|ep furiously pending courts. deposits haggle furiousl|394722|5086|P|200693.44|1995-03-25|3-MEDIUM|Clerk#000000422|0|sits. bold deposits haggle quickly express theodolites. final excuses wak|394722|4573|336|4|30.00|44327.10|0.01|0.04|R|F|1995-06-02|1995-05-19|1995-06-03|COLLECT COD|RAIL|nusual accounts.
5086|Customer#000005086|LRNeYhJ5dToyTpQBO8ewFWxFwkiTP|23|33-832-885-7620|-460.48|BUILDING|ep furiously pending courts. deposits haggle furiousl|394722|5086|P|200693.44|1995-03-25|3-MEDIUM|Clerk#000000422|0|sits. bold deposits haggle quickly express theodolites. final excuses wak|394722|11880|881|5|42.00|75258.96|0.05|0.05|N|F|1995-06-13|1995-05-14|1995-06-29|NONE|TRUCK|efully silent dependencies along
5086|Customer#000005086|LRNeYhJ5dToyTpQBO8ewFWxFwkiTP|23|33-832-885-7620|-460.48|BUILDING|ep furiously pending courts. deposits haggle furiousl|394722|5086|P|200693.44|1995-03-25|3-MEDIUM|Clerk#000000422|0|sits. bold deposits haggle quickly express theodolites. final excuses wak|394722|3061|315|6|15.00|14460.90|0.03|0.01|N|O|1995-07-09|1995-05-22|1995-07-12|TAKE BACK RETURN|MAIL|nder quickly even pi
5086|Customer#000005086|LRNeYhJ5dToyTpQBO8ewFWxFwkiTP|23|33-832-885-7620|-460.48|BUILDING|ep furiously pending courts. deposits haggle furiousl|394722|5086|P|200693.44|1995-03-25|3-MEDIUM|Clerk#000000422|0|sits. bold deposits haggle quickly express theodolites. final excuses wak|394722|17790|791|7|1.00|1707.79|0.04|0.05|N|F|1995-05-30|1995-05-23|1995-06-18|NONE|MAIL|lly bold instructions nag blithel
5140|Customer#000005140|rWDAl9l9vfYadbXlhSKyOABr7|18|28-797-851-7547|-959.54|BUILDING|atelets? regular, regular deposits sleep|114208|5140|P|144062.53|1995-03-13|4-NOT SPECIFIED|Clerk#000000259|0|onic requests are accounts. quickly special foxes haggle ironic, f|114208|11270|271|1|38.00|44888.26|0.04|0.07|N|O|1995-07-06|1995-05-26|1995-07-27|DELIVER IN PERSON|AIR|r ideas. unusual, special foxes haggle fur
5140|Customer#000005140|rWDAl9l9vfYadbXlhSKyOABr7|18|28-797-851-7547|-959.54|BUILDING|atelets? regular, regular deposits sleep|114208|5140|P|144062.53|1995-03-13|4-NOT SPECIFIED|Clerk#000000259|0|onic requests are accounts. quickly special foxes haggle ironic, f|114208|1458|459|2|10.00|13594.50|0.08|0.08|A|F|1995-04-23|1995-05-17|1995-05-16|NONE|SHIP|furiously slyly ironic
5140|Customer#000005140|rWDAl9l9vfYadbXlhSKyOABr7|18|28-797-851-7547|-959.54|BUILDING|atelets? regular, regular deposits sleep|114208|5140|P|144062.53|1995-03-13|4-NOT SPECIFIED|Clerk#000000259|0|onic requests are accounts. quickly special foxes haggle ironic, f|114208|15072|603|3|19.00|18754.33|0.06|0.02|R|F|1995-04-04|1995-06-10|1995-04-26|TAKE BACK RETURN|TRUCK|e furiously clos
5140|Customer#000005140|rWDAl9l9vfYadbXlhSKyOABr7|18|28-797-851-7547|-959.54|BUILDING|atelets? regular, regular deposits sleep|114208|5140|P|144062.53|1995-03-13|4-NOT SPECIFIED|Clerk#000000259|0|onic requests are accounts. quickly special foxes haggle ironic, f|114208|907|408|4|37.00|66892.30|0.08|0.08|N|O|1995-07-04|1995-04-15|1995-07-21|NONE|REG AIR|kages nag furiously q
5146|Customer#000005146|iySFzSFaueCDU|12|22-429-986-6069|6303.84|BUILDING|egular, regular theodolites sleep blithely across the regular, regular deposits. carefully final |507266|5146|F|241924.11|1994-12-12|1-URGENT|Clerk#000000817|0|r the slyly ironic requests. unusual dependencies|507266|7664|179|6|28.00|44006.48|0.05|0.04|R|F|1995-04-12|1995-01-16|1995-04-20|DELIVER IN PERSON|FOB|nding pearls. pen
5152|Customer#000005152|sSvgQ24nw,V x8bUexEGHIam N|11|21-339-133-4960|8530.63|BUILDING|aggle. slyly regular platelets haggle after the furiously bold dep|88866|5152|F|8878.75|1995-02-04|3-MEDIUM|Clerk#000000117|0|ides the fluffily ex|88866|4172|427|1|1.00|1076.17|0.09|0.08|R|F|1995-05-18|1995-04-10|1995-06-08|DELIVER IN PERSON|REG AIR|riously even packages. slyly iro
5152|Customer#000005152|sSvgQ24nw,V x8bUexEGHIam N|11|21-339-133-4960|8530.63|BUILDING|aggle. slyly regular platelets haggle after the furiously bold dep|88866|5152|F|8878.75|1995-02-04|3-MEDIUM|Clerk#000000117|0|ides the fluffily ex|88866|3388|642|2|6.00|7748.28|0.02|0.03|R|F|1995-04-17|1995-04-07|1995-05-01|TAKE BACK RETURN|FOB|y final accounts sleep after the packa
5179|Customer#000005179|AMVR2PFI4 613QhXKiG1IQD8gfqIsc5H0p|18|28-596-949-1797|1007.07|BUILDING|nto beans. special, unusual packages are. express packages cajole atop t|319844|5179|F|241370.74|1995-01-16|3-MEDIUM|Clerk#000000330|0|final requests haggle along the deposit|319844|2027|784|2|27.00|25083.54|0.05|0.08|R|F|1995-04-29|1995-04-16|1995-05-01|DELIVER IN PERSON|AIR|kages slee
5179|Customer#000005179|AMVR2PFI4 613QhXKiG1IQD8gfqIsc5H0p|18|28-596-949-1797|1007.07|BUILDING|nto beans. special, unusual packages are. express packages cajole atop t|319844|5179|F|241370.74|1995-01-16|3-MEDIUM|Clerk#000000330|0|final requests haggle along the deposit|319844|17244|46|3|39.00|45288.36|0.06|0.04|A|F|1995-04-18|1995-02-23|1995-05-12|COLLECT COD|RAIL|sleep blithely slyl
